Week,Matchup,Predicted Away Team Score,Predicted Home Team Score,Actual Away Team Score,Actual Home Team Score,Total Point Differential,Total Point Spread,Spread+Differential Average,Analyst,Win Score
12,PIT @ CHI,29,27,28,31,3,5,4.00,AI MODEL V2,0
12,NE @ CIN,35,17,26,20,6,12,9.00,AI MODEL V2,1
12,NYG @ DET,20,23,27,34,18,4,11.00,AI MODEL V2,1
12,MIN @ GB,21,42,6,23,34,4,19.00,AI MODEL V2,1
12,SEA @ TEN,27,24,30,24,3,3,3.00,AI MODEL V2,1
12,IND @ KC,17,13,20,23,13,7,10.00,AI MODEL V2,0
12,NYJ @ BAL,10,34,10,23,11,11,11.00,AI MODEL V2,1
12,CLE @ LV,10,20,24,10,4,24,14.00,AI MODEL V2,0
12,JAX @ ARI,31,19,27,24,1,9,5.00,AI MODEL V2,1
12,PHI @ DAL,21,29,21,24,5,5,5.00,AI MODEL V2,1
12,ATL @ NO,23,26,24,10,15,17,16.00,AI MODEL V2,0
12,TB @ LAR,20,23,7,34,2,24,13.00,AI MODEL V2,1
12,CAR @ SF,9,15,9,20,5,5,5.00,AI MODEL V2,1
12,PIT @ CHI,15,16,28,31,28,2,15.00,Maldonado ESPN,1
12,NE @ CIN,28,7,26,20,11,15,13.00,Maldonado ESPN,1
12,NYG @ DET,10,34,27,34,17,17,17.00,Maldonado ESPN,1
12,MIN @ GB,13,27,6,23,11,3,7.00,Maldonado ESPN,1
12,SEA @ TEN,28,7,30,24,19,15,17.00,Maldonado ESPN,1
12,IND @ KC,30,27,20,23,14,6,10.00,Maldonado ESPN,0
12,NYJ @ BAL,19,27,10,23,13,5,9.00,Maldonado ESPN,1
12,CLE @ LV,10,17,24,10,7,21,14.00,Maldonado ESPN,0
12,JAX @ ARI,17,10,27,24,24,4,14.00,Maldonado ESPN,1
12,PHI @ DAL,27,20,21,24,2,10,6.00,Maldonado ESPN,0
12,ATL @ NO,25,20,24,10,11,9,10.00,Maldonado ESPN,1
12,TB @ LAR,25,31,7,34,15,21,18.00,Maldonado ESPN,1
12,CAR @ SF,17,26,9,20,14,2,8.00,Maldonado ESPN,1
12,PIT @ CHI,17,24,28,31,18,4,11.00,Moody ESPN,1
12,NE @ CIN,31,20,26,20,5,5,5.00,Moody ESPN,1
12,NYG @ DET,17,34,27,34,10,10,10.00,Moody ESPN,1
12,MIN @ GB,10,27,6,23,8,0,4.00,Moody ESPN,1
12,SEA @ TEN,37,14,30,24,3,17,10.00,Moody ESPN,1
12,IND @ KC,24,27,20,23,8,0,4.00,Moody ESPN,1
12,NYJ @ BAL,17,34,10,23,18,4,11.00,Moody ESPN,1
12,CLE @ LV,16,13,24,10,5,11,8.00,Moody ESPN,1
12,JAX @ ARI,24,28,27,24,1,7,4.00,Moody ESPN,0
12,PHI @ DAL,24,21,21,24,0,6,3.00,Moody ESPN,0
12,ATL @ NO,20,24,24,10,10,18,14.00,Moody ESPN,0
12,TB @ LAR,20,33,7,34,12,14,13.00,Moody ESPN,1
12,CAR @ SF,27,38,9,20,36,0,18.00,Moody ESPN,1
12,PIT @ CHI,19,16,28,31,24,6,15.00,Walder ESPN,0
12,NE @ CIN,30,27,26,20,11,3,7.00,Walder ESPN,1
12,NYG @ DET,24,25,27,34,12,6,9.00,Walder ESPN,1
12,MIN @ GB,16,24,6,23,11,9,10.00,Walder ESPN,1
12,SEA @ TEN,30,13,30,24,11,11,11.00,Walder ESPN,1
12,IND @ KC,20,24,20,23,1,1,1.00,Walder ESPN,1
12,NYJ @ BAL,16,26,10,23,9,3,6.00,Walder ESPN,1
12,CLE @ LV,10,14,24,10,10,18,14.00,Walder ESPN,0
12,JAX @ ARI,23,16,27,24,12,4,8.00,Walder ESPN,1
12,PHI @ DAL,28,20,21,24,3,11,7.00,Walder ESPN,0
12,ATL @ NO,17,20,24,10,3,17,10.00,Walder ESPN,0
12,TB @ LAR,17,30,7,34,6,14,10.00,Walder ESPN,1
12,CAR @ SF,17,27,9,20,15,1,8.00,Walder ESPN,1
12,PIT @ CHI,24,19,28,31,16,8,12.00,Filice NFL,0
12,NE @ CIN,32,23,26,20,9,3,6.00,Filice NFL,1
12,NYG @ DET,17,40,27,34,4,16,10.00,Filice NFL,1
12,MIN @ GB,17,21,6,23,9,13,11.00,Filice NFL,1
12,SEA @ TEN,31,14,30,24,9,11,10.00,Filice NFL,1
12,IND @ KC,20,26,20,23,3,3,3.00,Filice NFL,1
12,NYJ @ BAL,16,30,10,23,13,1,7.00,Filice NFL,1
12,CLE @ LV,13,17,24,10,4,18,11.00,Filice NFL,0
12,JAX @ ARI,23,26,27,24,2,6,4.00,Filice NFL,0
12,PHI @ DAL,24,23,21,24,2,4,3.00,Filice NFL,0
12,ATL @ NO,16,19,24,10,1,17,9.00,Filice NFL,0
12,TB @ LAR,25,28,7,34,12,24,18.00,Filice NFL,1
12,CAR @ SF,22,28,9,20,21,5,13.00,Filice NFL,1
13,GB @ DET,17,30,31,24,8,20,14.00,AI MODEL V1,0
13,KC @ DAL,33,41,28,31,15,5,10.00,AI MODEL V1,1
13,CIN @ BAL,16,19,32,14,11,21,16.00,AI MODEL V1,0
13,CHI @ PHI,24,31,24,15,16,16,16.00,AI MODEL V1,0
13,NO @ MIA,18,23,17,21,3,1,2.00,AI MODEL V1,1
13,HOU @ IND,0,40,20,16,4,44,24.00,AI MODEL V1,0
13,ATL @ NYJ,12,56,24,27,17,41,29.00,AI MODEL V1,1
13,SF @ CLE,7,19,26,8,8,30,19.00,AI MODEL V1,0
13,LAR @ CAR,26,23,28,31,10,6,8.00,AI MODEL V1,0
13,JAX @ TEN,14,42,25,3,28,50,39.00,AI MODEL V1,0
13,ARI @ TB,17,22,17,20,2,2,2.00,AI MODEL V1,1
13,MIN @ SEA,7,38,0,26,19,5,12.00,AI MODEL V1,1
13,BUF @ PIT,31,38,26,7,36,26,31.00,AI MODEL V1,0
13,LV @ LAC,14,20,14,31,11,11,11.00,AI MODEL V1,1
13,DEN @ WSH,23,20,27,26,10,2,6.00,AI MODEL V1,1
13,NYG @ NE,21,27,15,33,0,12,6.00,AI MODEL V1,1
13,GB @ DET,24,6,31,24,25,11,18.00,AI MODEL V2,1
13,KC @ DAL,19,3,28,31,37,19,28.00,AI MODEL V2,0
13,CIN @ BAL,20,34,32,14,8,32,20.00,AI MODEL V2,0
13,CHI @ PHI,21,51,24,15,33,39,36.00,AI MODEL V2,0
13,NO @ MIA,18,24,17,21,4,2,3.00,AI MODEL V2,1
13,HOU @ IND,19,22,20,16,5,7,6.00,AI MODEL V2,0
13,ATL @ NYJ,20,27,24,27,4,4,4.00,AI MODEL V2,1
13,SF @ CLE,20,10,26,8,4,8,6.00,AI MODEL V2,1
13,LAR @ CAR,29,7,28,31,23,25,24.00,AI MODEL V2,0
